"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.485238741E2,2.094926499E-2,3.711012751E-2,9.924564362E0
2.485258844E2,-2.992752008E-3,2.274491638E-2,9.938929558E0
2.485278947E2,-1.256955881E-2,1.316810958E-2,9.962871552E0
2.485299049E2,-1.735796221E-2,2.274491638E-2,9.953294754E0
2.485319152E2,-2.992752008E-3,4.189852998E-2,9.938929558E0
2.485339254E2,1.137245819E-2,3.232172132E-2,9.924564362E0
2.485359357E2,3.052607179E-2,2.753331885E-2,9.886257172E0
2.485379460E2,4.010287672E-2,2.753331885E-2,9.891045570E0
2.485399562E2,2.573766746E-2,2.753331885E-2,9.914987564E0
2.485419665E2,2.573766746E-2,1.795651205E-2,9.929352760E0
2.485439767E2,1.795651275E-3,3.711012751E-2,9.953294754E0
2.485459870E2,-7.781155407E-3,3.711012751E-2,9.953294754E0
2.485479973E2,1.137245819E-2,3.232172132E-2,9.943717957E0
2.485500075E2,1.795651275E-3,2.274491638E-2,9.929352760E0
2.485520178E2,1.616086066E-2,3.232172132E-2,9.905410767E0
2.485540280E2,1.616086066E-2,3.232172132E-2,9.900622368E0
2.485560383E2,1.137245819E-2,4.668693244E-2,9.934141159E0
2.485580486E2,-2.992752008E-3,2.753331885E-2,9.929352760E0
2.485600588E2,1.795651275E-3,3.232172132E-2,9.934141159E0
2.485620691E2,-1.256955881E-2,4.189852998E-2,9.914987564E0
2.485640793E2,6.584054790E-3,3.232172132E-2,9.919775963E0
2.485660896E2,6.584054790E-3,4.189852998E-2,9.900622368E0
2.485680999E2,3.052607179E-2,3.711012751E-2,9.919775963E0
2.485701101E2,3.531447425E-2,3.711012751E-2,9.900622368E0
2.485721204E2,2.573766746E-2,1.316810958E-2,9.914987564E0
2.485741306E2,1.616086066E-2,1.316810958E-2,9.934141159E0
2.485761409E2,-7.781155407E-3,2.753331885E-2,9.953294754E0
2.485781512E2,-1.256955881E-2,3.711012751E-2,9.953294754E0
2.485801614E2,1.137245819E-2,3.711012751E-2,9.943717957E0
2.485821717E2,-7.781155407E-3,5.626374111E-2,9.929352760E0
2.485841819E2,1.137245819E-2,3.711012751E-2,9.929352760E0
2.485861922E2,2.094926499E-2,5.147533491E-2,9.895833969E0
2.485882025E2,2.573766746E-2,6.105214357E-2,9.914987564E0
2.485902127E2,1.616086066E-2,2.753331885E-2,9.929352760E0
2.485922230E2,3.531447425E-2,-1.197100850E-3,9.943717957E0
2.485942333E2,2.573766746E-2,1.795651205E-2,9.948506355E0
2.485962435E2,6.584054790E-3,2.274491638E-2,9.943717957E0
2.485982538E2,-2.992752008E-3,2.274491638E-2,9.924564362E0
2.486002640E2,1.137245819E-2,3.232172132E-2,9.938929558E0
2.486022743E2,-7.781155407E-3,4.668693244E-2,9.943717957E0
2.486042846E2,2.094926499E-2,5.626374111E-2,9.934141159E0
2.486062948E2,1.137245819E-2,2.753331885E-2,9.910199165E0
2.486083051E2,1.616086066E-2,1.795651205E-2,9.924564362E0
2.486103153E2,2.094926499E-2,8.379706182E-3,9.938929558E0
2.486123256E2,1.137245819E-2,2.274491638E-2,9.938929558E0
2.486143359E2,6.584054790E-3,2.753331885E-2,9.938929558E0
2.486163461E2,1.795651275E-3,2.753331885E-2,9.914987564E0
2.486183564E2,-2.992752008E-3,3.711012751E-2,9.910199165E0
2.486203666E2,1.616086066E-2,5.147533491E-2,9.895833969E0
2.486223769E2,-2.992752008E-3,4.668693244E-2,9.895833969E0
2.486243872E2,1.137245819E-2,2.753331885E-2,9.924564362E0
2.486263974E2,-7.781155407E-3,3.711012751E-2,9.924564362E0
2.486284077E2,2.094926499E-2,2.753331885E-2,9.924564362E0
2.486304179E2,1.616086066E-2,2.753331885E-2,9.934141159E0
2.486324282E2,1.616086066E-2,2.753331885E-2,9.934141159E0
2.486344385E2,1.616086066E-2,3.711012751E-2,9.943717957E0
2.486364487E2,2.094926499E-2,4.189852998E-2,9.934141159E0
2.486384590E2,1.137245819E-2,4.668693244E-2,9.919775963E0
2.486404692E2,2.573766746E-2,5.147533491E-2,9.891045570E0
2.486424795E2,2.094926499E-2,4.189852998E-2,9.924564362E0
2.486444898E2,2.573766746E-2,4.189852998E-2,9.943717957E0
2.486464966E2,1.137245819E-2,2.753331885E-2,9.943717957E0
2.486485034E2,2.573766746E-2,1.316810958E-2,9.948506355E0
2.486505106E2,-2.992752008E-3,2.753331885E-2,9.929352760E0
2.486525184E2,-2.992752008E-3,3.232172132E-2,9.929352760E0
2.486545268E2,-2.214636654E-2,4.189852998E-2,9.924564362E0
2.486565359E2,-2.992752008E-3,5.147533491E-2,9.905410767E0
2.486585456E2,1.795651275E-3,3.232172132E-2,9.905410767E0
2.486605560E2,2.094926499E-2,6.105214357E-2,9.891045570E0
2.486625671E2,3.531447425E-2,3.711012751E-2,9.905410767E0
2.486645787E2,3.052607179E-2,1.795651205E-2,9.929352760E0
2.486665908E2,3.531447425E-2,3.711012751E-2,9.934141159E0
2.486686034E2,6.584054790E-3,2.274491638E-2,9.938929558E0
2.486706162E2,6.584054790E-3,2.753331885E-2,9.938929558E0
2.486726292E2,-7.781155407E-3,2.753331885E-2,9.934141159E0
2.486746423E2,-2.992752008E-3,3.711012751E-2,9.934141159E0
2.486766548E2,-1.256955881E-2,4.668693244E-2,9.934141159E0
2.486786650E2,6.584054790E-3,3.232172132E-2,9.919775963E0
2.486806753E2,2.573766746E-2,3.711012751E-2,9.905410767E0
2.486826855E2,3.052607179E-2,2.753331885E-2,9.934141159E0
2.486846958E2,1.616086066E-2,1.795651205E-2,9.924564362E0
2.486867061E2,1.616086066E-2,3.232172132E-2,9.938929558E0
2.486887163E2,2.573766746E-2,3.711012751E-2,9.929352760E0
2.486907266E2,-2.992752008E-3,3.711012751E-2,9.924564362E0
2.486927368E2,1.137245819E-2,4.189852998E-2,9.919775963E0
2.486947471E2,2.573766746E-2,2.753331885E-2,9.905410767E0
2.486967574E2,1.616086066E-2,4.668693244E-2,9.891045570E0
2.486987676E2,3.052607179E-2,2.274491638E-2,9.919775963E0
2.487007779E2,2.094926499E-2,1.795651205E-2,9.924564362E0
2.487027881E2,2.573766746E-2,8.379706182E-3,9.962871552E0
2.487047984E2,1.795651275E-3,2.753331885E-2,9.958083153E0
2.487068087E2,6.584054790E-3,8.379706182E-3,9.919775963E0
2.487088189E2,-2.992752008E-3,3.232172132E-2,9.934141159E0
2.487108292E2,-2.214636654E-2,2.753331885E-2,9.919775963E0
2.487128394E2,-2.992752008E-3,5.147533491E-2,9.900622368E0
2.487148497E2,-2.992752008E-3,4.668693244E-2,9.900622368E0
