Time (s),Illuminance (lx),Location
104.8077221,210.3375092,Costa Coffee (Evening)
105.0077093,223.0500031,Costa Coffee (Evening)
105.2077141,221.75,Costa Coffee (Evening)
105.4076996,228.0875092,Costa Coffee (Evening)
105.6077153,231.5749969,Costa Coffee (Evening)
105.8076958,225.4875031,Costa Coffee (Evening)
106.0077093,223.3000031,Costa Coffee (Evening)
106.2076922,224.3500061,Costa Coffee (Evening)
106.4077041,216.7250061,Costa Coffee (Evening)
106.6076885,207.4499969,Costa Coffee (Evening)
106.8077027,205.6625061,Costa Coffee (Evening)
107.0076829,205.8125,Costa Coffee (Evening)
107.2076802,195.0875092,Costa Coffee (Evening)
107.4076814,190.1125031,Costa Coffee (Evening)
107.6076924,181.4875031,Costa Coffee (Evening)
107.8076745,179.6500092,Costa Coffee (Evening)
108.0076916,180.0875092,Costa Coffee (Evening)
108.2076704,179.75,Costa Coffee (Evening)
108.4076838,181.3375092,Costa Coffee (Evening)
108.6076686,186.3249969,Costa Coffee (Evening)
108.8076809,194.6999969,Costa Coffee (Evening)
109.0076628,204.3625031,Costa Coffee (Evening)
109.2076779,205.5124969,Costa Coffee (Evening)
109.4076657,204.7624969,Costa Coffee (Evening)
109.6076721,207.3500061,Costa Coffee (Evening)
109.8076682,208.4000092,Costa Coffee (Evening)
110.007669,207.6000061,Costa Coffee (Evening)
110.2076484,205.0625,Costa Coffee (Evening)
110.4076615,199.1750031,Costa Coffee (Evening)
110.6076678,190.6625061,Costa Coffee (Evening)
110.8076616,188.6125031,Costa Coffee (Evening)
111.007698,189.6625061,Costa Coffee (Evening)
111.2076584,192.3000031,Costa Coffee (Evening)
111.4076623,195.7875061,Costa Coffee (Evening)
111.6076542,200.625,Costa Coffee (Evening)
111.80765,202.2125092,Costa Coffee (Evening)
112.0076451,200.6750031,Costa Coffee (Evening)
112.2076453,199.3249969,Costa Coffee (Evening)
112.4076269,197.4875031,Costa Coffee (Evening)
